"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 04 09:46:00 PDT 2020","Sun Oct 04 09:46:00 PDT 2020","9","Free CRM Automation Test Suite","Free CRM Application Test","com.framework.qa.testcases.LoginPageTest","com.framework.qa.testcases.LoginPageTest","loginDemo","loginDemo",""
"passed","Sun Oct 04 09:46:19 PDT 2020","Sun Oct 04 09:46:19 PDT 2020","106","Free CRM Automation Test Suite","Free CRM Application Test","com.framework.qa.testcases.LoginPageTest","com.framework.qa.testcases.LoginPageTest","loginPageTitleTest","Verify Login page title test.","Test Case Description: Verify Login Page Title Test on login page."
"passed","Sun Oct 04 09:47:00 PDT 2020","Sun Oct 04 09:47:18 PDT 2020","18364","Free CRM Automation Test Suite","Free CRM Application Test","com.framework.qa.testcases.LoginPageTest","com.framework.qa.testcases.LoginPageTest","loginTest","Login into app test","Test Case Description: Verify the login into application with correct credentials"
"passed","Sun Oct 04 09:46:40 PDT 2020","Sun Oct 04 09:46:40 PDT 2020","217","Free CRM Automation Test Suite","Free CRM Application Test","com.framework.qa.testcases.LoginPageTest","com.framework.qa.testcases.LoginPageTest","crmLogoTest","verify the signup link","Test Case Description: Verify Sign Up link  on login page."
